,F1-score,Precision-score,Recall-score
HEBREW,0.9983587840860436,0.9977890156545418,0.9990264519281291
ARABIC,0.9901529585308064,0.998211872276771,0.9839453410381721
PORTUGUESE,0.9767037851266502,0.9899091474976854,0.9678921580991358
ITALIAN,0.9949557276551527,0.9981539939560412,0.9921749571685948
FRENCH,0.9946472972808148,0.9963087485319456,0.9933057602485292
SPANISH,0.9988672946127486,0.9991034039917678,0.9987091130244286
GERMAN,0.9856232463261003,0.9908881014588273,0.9815489168195245
ENGLISH,0.9012174043062396,0.9283590179989306,0.8854329880662646
RUSSIAN,0.995985762961706,0.9967348926829308,0.9955616956089315
FINNISH,0.9767838764847632,0.9917732764572273,0.9679923804319458
VIETNAMESE,0.781821691436723,0.7559739396186174,0.8139357079227532
KOREAN,0.9993167474202278,0.999743050147149,0.998996251911882
CHINESE,0.8171287027897838,0.8159197179691655,0.8205800383315347
JAPANESE,0.8917571233703726,0.8992390885909223,0.8866293327615448
